Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
Anza,AzaIV,Lens culinaris Medik.,Fabaceae,Lens,D,8,0
Anza,AzaIV,Pisum sativum L.,Fabaceae,Pisum,D,2,0
Anza,AzaIV,Rumex sp.,Polygonaceae,Rumex,W,1,0
Anza,AzaIV,Triticum monococcum/dicoccum spikelet forks,Poaceae,Triticum,D,23,0
Anza,AzaIV,Triticum dicoccum grains,Poaceae,Triticum,D,24,0
Anza,AzaIV,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,27,0
Apliki,AP,Amygdalus communis L.,Rosaceae,Amygdalus,D,0,14
Apliki,AP,Anagallis arvensis L.,Primulaceae,Anagallis,W,0,14
Apliki,AP,Coriandrum sativum,Apiaceae,Coriandrum,D,0,14
Apliki,AP,Galium spurium L.,Rubiaceae,Galium,W,0,14
Apliki,AP,Galium tricornutum Dandy,Rubiaceae,Galium,W,0,14
Apliki,AP,Hordeum distichum/vulgare grain,Poaceae,Hordeum,D,92,43
Apliki,AP,Lens culinaris Medik.,Fabaceae,Lens,D,3,43
Apliki,AP,Lolium rigidum Gaudin,Poaceae,Lolium,W,0,14
Apliki,AP,Neslia apiculata Fisch.,Brassicaceae,Neslia,W,0,14
Apliki,AP,Olea europaea L.,Oleaceae,Olea,D,0,14
Apliki,AP,Raphanus raphanistrum L.,Brassicaceae,Raphanus,W,0,14
Apliki,AP,Trigonella sp.,Fabaceae,Trigonella,W,0,14
Apliki,AP,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,0,43
Apliki,AP,Vicia cracca L.,Fabaceae,Vicia,W,0,14
Apliki,AP,Vicia faba L.,Fabaceae,Vicia,D,5,14
Apliki,AP,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,14
Arad,A,Cupressus sempervirens wood,Cupressaceae,Cupressus,W,1,0
